Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,,Trial State,State Duration,Arena Type,,
1,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,disabled,0.2,tunnels_A,TRIAL DURATION:,12.2
2,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,enabled,1,,,
3,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,disabled,1,,,
4,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,enabled,1,,,
5,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,disabled,1,,,
6,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,enabled,1,,,
7,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,disabled,1,,,
8,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,enabled,1,,,
9,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,disabled,1,,,
10,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,enabled,1,,,
11,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,disabled,1,,,
12,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,enabled,1,,,
13,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,disabled,1,,,
14,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
15,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
16,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
17,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
18,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
19,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
20,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
21,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
22,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
23,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
24,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
25,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
26,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
27,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
28,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
29,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
30,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
31,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
32,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
33,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
34,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
35,Gr43a,tunnels,"{radius: 75, outer_radius: 115, tunnels: [top_right, bottom_right, top_left, bottom_left]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
